RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Parameterize Variable,pmd,regress,test,net,sourceforge,pmd/renderers/XMLRendererTest.java,extremely high
Extract Variable,pmd-netbeans,src,pmd,PMDOutputListener.java,,,low
Rename Method,pmd,regress,test,net,sourceforge,pmd/RuleSetFactoryTest.java,extremely high
Rename Parameter,pmd,src,net,sourceforge,pmd,RuleSetFactory.java,extremely high
Extract Method,pmd-jedit,PMDPlugin,src,net,sourceforge,pmd/jedit/PMDJEditPlugin.java,low
Rename Parameter,pmd,src,net,sourceforge,pmd,cpd/JavaTokenizer.java,extremely high
Rename Variable,pmd,regress,test,net,sourceforge,pmd/symboltable/ScopeCreationVisitorTest.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,symboltable/BasicScopeCreationVisitor.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,symboltable/BasicScopeCreationVisitor.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,symboltable/BasicScopeCreationVisitor.java,extremely high
Extract And Move Method,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,low
Rename Variable,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,low
Move Class,pmd,regress,test,net,sourceforge,pmd/rules/AvoidConcatenatingNonLiteralsInStringBufferTest.java,extremely high
Move Class,pmd,regress,test,net,sourceforge,pmd/rules/AvoidDuplicateLiteralsRuleTest.java,extremely high
Move Class,pmd,regress,test,net,sourceforge,pmd/rules/StringInstantiationRuleTest.java,extremely high
Move Class,pmd,regress,test,net,sourceforge,pmd/rules/StringToStringRuleTest.java,extremely high
Extract Variable,pmd,src,net,sourceforge,pmd,rules/optimization/AbstractOptimizationRule.java,extremely high
Extract Variable,pmd,src,net,sourceforge,pmd,rules/sunsecure/ArrayIsStoredDirectly.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/design/LongMethodRuleTest.java,extremely high
Rename Parameter,pmd,src,net,sourceforge,pmd,stat/StatisticalRule.java,extremely high
Rename Variable,pmd,src,net,sourceforge,pmd,stat/StatisticalRule.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/design/AssignementToNonFinalStaticTest.java,extremely high
Move Class,pmd,regress,test,net,sourceforge,pmd/rules/BeanMembersShouldSerializeRuleTest.java,low
Rename Variable,pmd,src,net,sourceforge,pmd,rules/optimization/MethodArgumentCouldBeFinal.java,extremely high
Rename Variable,pmd,src,net,sourceforge,pmd,rules/optimization/MethodArgumentCouldBeFinal.java,extremely high
Pull Up Method,pmd,src,net,sourceforge,pmd,rules/AvoidFieldNameMatchingMethodName.java,low
Extract Method,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,low
Extract Method,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,low
Rename Variable,pmd,regress,test,net,sourceforge,pmd/ast/EncodingTest.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,symboltable/AbstractNameDeclaration.java,low
Rename Parameter,pmd,src,net,sourceforge,pmd,AbstractRule.java,low
Rename Parameter,pmd,src,net,sourceforge,pmd,AbstractRule.java,low
Rename Parameter,pmd,src,net,sourceforge,pmd,AbstractRule.java,low
Extract And Move Method,pmd,src,net,sourceforge,pmd,ast/ASTType.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Extract Method,pmd,regress,test,net,sourceforge,pmd/symboltable/STBBaseTst.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Extract Variable,pmd,regress,test,net,sourceforge,pmd/symboltable/GlobalScopeTest.java,extremely high
Inline Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Inline Variable,pmd,regress,test,net,sourceforge,pmd/ast/SimpleNodeTest.java,extremely high
Move Attribute,pmd,src,net,sourceforge,pmd,ast/ASTType.java,extremely high
Move Method,pmd,src,net,sourceforge,pmd,ast/ASTType.java,extremely high
Move Method,pmd,src,net,sourceforge,pmd,ast/ASTInterfaceDeclaration.java,extremely high
Move Method,pmd,src,net,sourceforge,pmd,ast/ASTNestedInterfaceDeclaration.java,extremely high
Move Method,pmd,src,net,sourceforge,pmd,ast/ASTUnmodifiedClassDeclaration.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ast/JavaParserTreeConstants.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ast/ASTClassBody.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ast/ASTClassBodyDeclaration.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ast/ASTClassDeclaration.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ast/ASTInterfaceMemberDeclaration.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ast/ASTNestedClassDeclaration.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ast/ASTUnmodifiedInterfaceDeclaration.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ast/JDKVersionTest.java,extremely high
Rename Variable,pmd,regress,test,net,sourceforge,pmd/symboltable/ScopeCreationVisitorTest.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ast/JDKVersionTest.java,extremely high
Rename Parameter,pmd,src,net,sourceforge,pmd,rules/strictexception/AvoidCatchingThrowable.java,extremely high
Rename Variable,pmd,regress,test,net,sourceforge,pmd/ast/ASTThrowStatementTest.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ast/ASTClassOrInterfaceDeclaration.java,extremely high
Rename Parameter,pmd,src,net,sourceforge,pmd,rules/ImportWrapper.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ast/JDKVersionTest.java,extremely high
Rename Variable,pmd,src,net,sourceforge,pmd,rules/DoubleCheckedLocking.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,ant/RuleSet.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,util/Benchmark.java,extremely high
Rename Class,pmd,src,net,sourceforge,pmd,rules/AvoidFieldNamesMatchingTypeName.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/AvoidFieldNamesMatchingTypeNameTest.java,extremely high
