Refactoring_id,Commit,Type
174,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Change Parameter Type"
175,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Change Return Type"
176,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Change Variable Type"
177,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Move Class"
178,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Rename Attribute"
179,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Rename Method"
180,0ed07c3b95ffdb8073c3fff54259218d8b17e56e,"Rename Parameter"
181,0f965bf7bf6679d128b39a683f7b523cdb1c24a1,"Rename Class"
182,0ff1a3431431c1f32de935d87c7f106cac800353,"Change Attribute Type"
183,0ff1a3431431c1f32de935d87c7f106cac800353,"Change Parameter Type"
184,0ff1a3431431c1f32de935d87c7f106cac800353,"Change Return Type"
185,0ff1a3431431c1f32de935d87c7f106cac800353,"Change Variable Type"
186,0ff1a3431431c1f32de935d87c7f106cac800353,"Rename Attribute"
187,0ff1a3431431c1f32de935d87c7f106cac800353,"Rename Class"
188,0ff1a3431431c1f32de935d87c7f106cac800353,"Rename Method"
189,0ff1a3431431c1f32de935d87c7f106cac800353,"Rename Parameter"
190,0ff1a3431431c1f32de935d87c7f106cac800353,"Rename Variable"
191,10406d2e039ba7f6a116a9d1477eaee37c6a6910,"Rename Attribute"
192,10406d2e039ba7f6a116a9d1477eaee37c6a6910,"Rename Class"
193,10406d2e039ba7f6a116a9d1477eaee37c6a6910,"Rename Method"
194,10406d2e039ba7f6a116a9d1477eaee37c6a6910,"Rename Variable"
195,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Change Attribute Type"
196,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Change Parameter Type"
197,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Change Variable Type"
198,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Move Class"
199,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Rename Attribute"
200,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Rename Method"
201,1041ce3105976bc6c707c0f23a5bee9cabf7ec61,"Rename Parameter"
202,10c5a0b9bdc2c69d46f23b67fc02a0aae333b2b2,"Change Parameter Type"
203,10c5a0b9bdc2c69d46f23b67fc02a0aae333b2b2,"Rename Attribute"
204,10c5a0b9bdc2c69d46f23b67fc02a0aae333b2b2,"Rename Variable"
205,112aa0f3afd4870db06490645b25e9fbd3a463aa,"Rename Method"
206,112aa0f3afd4870db06490645b25e9fbd3a463aa,"Rename Variable"
207,113d634a28f096907390fe79a0449fd449d53c0d,"Change Attribute Type"
208,113d634a28f096907390fe79a0449fd449d53c0d,"Change Parameter Type"
209,113d634a28f096907390fe79a0449fd449d53c0d,"Change Return Type"
210,113d634a28f096907390fe79a0449fd449d53c0d,"Change Variable Type"
211,113d634a28f096907390fe79a0449fd449d53c0d,"Rename Attribute"
212,113d634a28f096907390fe79a0449fd449d53c0d,"Rename Class"
