RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Move Class,documentation,src,test,java,org,hibernate/validator/referenceguide/chapter10/cdi/methodvalidation/implicit/RentalStation.java,extremely high
Pull Up Attribute,engine,src,test,java,org,hibernate/validator/internal/constraintvalidators/hv/ParameterScriptAssertValidator.java,high
Move Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorFactoryImpl.java,extremely high
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Move Class,hibernate-validator,src,main,java,org,hibernate/validation/constraints/SizeValidatorForString.java,high
Move And Rename Class,integration,weld,src,test,java,org/hibernate/validator/integration/cdi/methodvalidation/GetterNotAnnotatedRepeater.java,extremely high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/ModCheckValidator.java,low
Rename Variable,hibernate-validator,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,extremely high
Pull Up Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/ModCheckValidator.java,medium
Extract Method,hibernate-validator,src,main,java,org,hibernate/validation/metadata/ConstraintDescriptorImpl.java,extremely high
Move Class,hibernate-validator,src,main,java,org,hibernate/validation/constraints/PastValidatorForDate.java,high
Extract Method,annotation-processor,src,main,java,org,hibernate/validator/ap/util/ConstraintHelper.java,low
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Rename Method,engine,src,main,java,org,hibernate/validator/internal/engine/constraintvalidation/HibernateConstraintValidatorInitializationContextImpl.java,low
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/bootstrap/ValidationTest.java,extremely high
Rename Method,engine,src,test,java,org,hibernate/validator/test/internal/xml/containerelementtype/ContainerElementTypeConstraintsForGetterXmlMappingTest.java,extremely high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/bv/DecimalMinValidatorForCharSequence.java,extremely high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Pull Up Method,engine,src,test,java,org,hibernate/validator/test/internal/metadata/provider/AnnotationMetaDataProviderTest.java,medium
Rename Parameter,engine,src,main,java,org,hibernate/validator/internal/metadata/core/AnnotationProcessingOptionsImpl.java,high
Rename Method,hibernate-validator,src,main,java,org,hibernate/validation/engine/BeanMetaDataImpl.java,high
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
Move Class,hibernate-validator,src,test,java,org,hibernate/validator/test/engine/messageinterpolation/MessageInterpolatorContextTest.java,extremely high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConfigurationImpl.java,extremely high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorFactoryImpl.java,low
