SATD_id,Commit_id,Project_id,Satd_type,v1_comment,v2_comment
13312,8066a1e1790e68f268027f2fa1d012a247ae73c7,3,SATD_REMOVED,"TODO use WriterFactory.newXmlWriter() when plexus-utils is upgraded to 1.4.5+
$NON-NLS-1$",to be removed when encoding is detected instead of forced to UTF-8
13313,8066a1e1790e68f268027f2fa1d012a247ae73c7,3,SATD_REMOVED,"fixed
fixed
$NON-NLS-1$
installed
installed",$NON-NLS-1$
13314,8066a1e1790e68f268027f2fa1d012a247ae73c7,3,SATD_CHANGED,"fixed
fixed
$NON-NLS-1$
installed
installed","fixed
fixed
installed"
13315,8066a1e1790e68f268027f2fa1d012a247ae73c7,3,SATD_REMOVED,"fixed
fixed
$NON-NLS-1$
installed
installed",installed
13364,716fd61e649c9d2949b2540df6407dc3b69be886,3,SATD_REMOVED,"TODO: shouldnt need classifer
TODO: For 3.0 this should be changed having a separate classifier for main artifact and ejb-client.",None
13365,716fd61e649c9d2949b2540df6407dc3b69be886,3,CLASS_OR_METHOD_CHANGED,"TODO: shouldnt need classifer
TODO: For 3.0 this should be changed having a separate classifier for main artifact and ejb-client.","TODO: shouldnt need classifer
TODO: For 3.0 this should be changed having a separate classifier for main artifact and ejb-client."
13366,36e62c0a68247208b1b17250642f366818524940,3,SATD_REMOVED,"Handle the classifier if necessary
TODO: For 3.0 this should be changed having a separate classifier for main artifact and ejb-client.",None
13367,36e62c0a68247208b1b17250642f366818524940,3,SATD_REMOVED,"TODO: shouldnt need classifer
TODO: For 3.0 this should be changed having a separate classifier for main artifact and ejb-client.",None
13371,d236f5dedbcf257d701cd5879f027cda8119cdb3,3,SATD_REMOVED,TODO: will null work instead?,None
13372,d236f5dedbcf257d701cd5879f027cda8119cdb3,3,SATD_REMOVED,TODO: This should be handled different.,None
13384,dbb43ff58bbb8fe6d255b7759c10693f467904d6,3,SATD_REMOVED,FIXME I'm not getting runtime dependencies here,None
13385,dbb43ff58bbb8fe6d255b7759c10693f467904d6,3,SATD_REMOVED,"TODO: Remove this, once we can depend on Maven 2.0.7 or later...in which
MavenProject.getManagedVersionMap() exists. This is from MNG-1577.",None
13457,c21039b57082811966169f78371e79bcddaefd4d,3,SATD_REMOVED,TODO: push into transformation,None
13458,c21039b57082811966169f78371e79bcddaefd4d,3,SATD_REMOVED,"Here, we have a temporary solution to MINSTALL-3 (isDirectory() is true if it went through compile
but not package). We are designing in a proper solution for Maven 2.1",None
13499,88157025830de105f092aed6e70c4000b229e5e1,3,SATD_REMOVED,"TODO: maybe not strictly correct, while we should enforce that packaging has a type handler of the same id,
we dont",None
13506,86982c2e7ccae6932340f40c4ce8f193d8bd30aa,3,SATD_CHANGED,"TODO: Think if ResultionScope is needed here? May be we need to reconsider package phase?
May be it would be wise to put into PREPARE-PACKAGE and the generation of the final jimage in the package phase?
Furthermore It could make sense so we can change the conf files if needed...","TODO: Think if ResultionScope is needed here? May be we need to reconsider package phase?
May be it would be wise to put into PREPARE-PACKAGE and the generation of the final jimage in the package phase?
Furthermore It could make sense so we can change the conf files if needed...
CHECKSTYLE_OFF: LineLength"
13507,86982c2e7ccae6932340f40c4ce8f193d8bd30aa,3,SATD_REMOVED,"TODO: Think if ResultionScope is needed here? May be we need to reconsider package phase?
May be it would be wise to put into PREPARE-PACKAGE and the generation of the final jimage in the package phase?
Furthermore It could make sense so we can change the conf files if needed...",CHECKSTYLE_ON: LineLength
13513,cdb9ae056b31cc2780095e8c5505f81d2ae42137,3,SATD_REMOVED,FIXME: Check this ?,None
13515,54350cd09e696d234b30b8cd1c5561438b68073f,3,SATD_REMOVED,"Always null see MPLUGIN-137
TODO remove when maven-plugin-tools-api:2.4.4",Can be null because of MPLUGIN-137 (and descriptors generated with maven-plugin-tools-api <= 2.4.3)
